num,numbits,radius,classweight,num trees,inh mean auc,kill mean auc
0,512,2,balanced,50,0.7397706195695565,0.6281925683410988
1,512,2,balanced,100,0.7189210043462619,0.6210417000970011
2,512,2,balanced,250,0.7764917379723298,0.5902663581035452
3,512,2,balanced,500,0.7289767977441772,0.6886920677179716
4,512,2,balanced,750,0.7660290022221846,0.6651018751818697
5,512,2,balanced,1000,0.7542197031224864,0.6190873347802485
6,512,2,balanced,2000,0.7498995063264339,0.6689464265918245
7,512,3,balanced,50,0.7340489113034906,0.6135750129349282
8,512,3,balanced,100,0.7570836297780364,0.6409988513052252
9,512,3,balanced,250,0.7758749918561941,0.6794620046280877
10,512,3,balanced,500,0.7865603872672734,0.6073773453934044
11,512,3,balanced,750,0.7772433686534196,0.6783215837319418
12,512,3,balanced,1000,0.7783862351398113,0.6702060419569088
13,512,3,balanced,2000,0.7829810937066348,0.6475694728793228
14,512,4,balanced,50,0.7548987973512403,0.6239896935982184
15,512,4,balanced,100,0.7968685534561447,0.6077615011166784
16,512,4,balanced,250,0.77719264437728,0.6776383057829397
17,512,4,balanced,500,0.7994320289868119,0.6913898870305298
18,512,4,balanced,750,0.7810466327670736,0.7142184320996076
19,512,4,balanced,1000,0.8114690380513699,0.7129017719303364
20,512,4,balanced,2000,0.7861730904955975,0.662263679531807
21,1024,2,balanced,50,0.6493403936887373,0.6175054203380584
22,1024,2,balanced,100,0.7194859784897739,0.6843944184416513
23,1024,2,balanced,250,0.7763836357844905,0.6804908750318078
24,1024,2,balanced,500,0.7824968112645477,0.6734422080366135
25,1024,2,balanced,750,0.7943344820867551,0.6786926208099002
26,1024,2,balanced,1000,0.7881678117836661,0.7020402042799647
27,1024,2,balanced,2000,0.8023953316882464,0.6907398297925128
28,1024,3,balanced,50,0.7084371544604178,0.6616050720135848
29,1024,3,balanced,100,0.7177411976584697,0.6521660898731573
30,1024,3,balanced,250,0.7739300412370285,0.6498522459726841
31,1024,3,balanced,500,0.7844350599320533,0.7174309310714108
32,1024,3,balanced,750,0.7665799532534106,0.6835674325782302
33,1024,3,balanced,1000,0.7865755928525333,0.6912595744725297
34,1024,3,balanced,2000,0.780784556068876,0.6753948312397089
35,1024,4,balanced,50,0.7061785217338278,0.6199362134358014
36,1024,4,balanced,100,0.7767650494352535,0.6687164658344749
37,1024,4,balanced,250,0.7160523287266729,0.5753331642970123
38,1024,4,balanced,500,0.7868261474323578,0.684993233242066
39,1024,4,balanced,750,0.7889859127035894,0.6215019038962458
40,1024,4,balanced,1000,0.7691196381907339,0.6638779624643256
41,1024,4,balanced,2000,0.7707435868133259,0.6250681593840431
42,2048,2,balanced,50,0.7553309975804824,0.6378899861634952
43,2048,2,balanced,100,0.7543429880090121,0.6194161414708501
44,2048,2,balanced,250,0.7954321997206515,0.6824678314724063
45,2048,2,balanced,500,0.7769005951678917,0.6845915698906481
46,2048,2,balanced,750,0.7954003581392768,0.7033053458165895
47,2048,2,balanced,1000,0.7888365294942071,0.6653112091442506
48,2048,2,balanced,2000,0.8171736119026051,0.7055249391904385
49,2048,3,balanced,50,0.7492611387555491,0.6318834817165404
50,2048,3,balanced,100,0.7517928044917496,0.6138056997879927
51,2048,3,balanced,250,0.765174233196792,0.7031463050519683
52,2048,3,balanced,500,0.7848097805314903,0.6856556655868721
53,2048,3,balanced,750,0.790142603951962,0.6880886983828413
54,2048,3,balanced,1000,0.814249494829745,0.7022942287885469
55,2048,3,balanced,2000,0.7990410080610072,0.7115547896530748
56,2048,4,balanced,50,0.7628023297311392,0.6416155502507942
57,2048,4,balanced,100,0.7842856525646211,0.6343939357195957
58,2048,4,balanced,250,0.7877315224865926,0.6278036228631896
59,2048,4,balanced,500,0.8209148991747254,0.664594071809027
60,2048,4,balanced,750,0.7970842098255315,0.667035107552497
61,2048,4,balanced,1000,0.8061949110635376,0.666009200981692
62,2048,4,balanced,2000,0.7981092638594606,0.6791866010129991
63,4096,2,balanced,50,0.7604075740216638,0.6356556302884023
64,4096,2,balanced,100,0.7387179579703841,0.6287766856637664
65,4096,2,balanced,250,0.7984960126248444,0.7095480565793763
66,4096,2,balanced,500,0.8018402280153735,0.7078843572341874
67,4096,2,balanced,750,0.7881233380850947,0.71175439063009
68,4096,2,balanced,1000,0.7989178592224474,0.7216264410259673
69,4096,2,balanced,2000,0.810488737440802,0.7107449640065426
70,4096,3,balanced,50,0.7610411303261698,0.599489091497151
71,4096,3,balanced,100,0.7725126642855477,0.6367888396658954
72,4096,3,balanced,250,0.7725383760796042,0.7202260812697435
73,4096,3,balanced,500,0.7879985846434243,0.6856548124373081
74,4096,3,balanced,750,0.8050426343809333,0.6892029274015918
75,4096,3,balanced,1000,0.8040281259715668,0.7018392904475834
76,4096,3,balanced,2000,0.8101840840866957,0.7216783014964255
77,4096,4,balanced,50,0.734039820247833,0.5979856572161393
78,4096,4,balanced,100,0.755611401338295,0.6281875805228279
79,4096,4,balanced,250,0.8213542222142882,0.702633999576055
80,4096,4,balanced,500,0.8006445889044974,0.6899421714872157
81,4096,4,balanced,750,0.8013252635783118,0.6722982609059103
82,4096,4,balanced,1000,0.815264916159106,0.7062326471897059
83,4096,4,balanced,2000,0.7942013839460248,0.6863791368299643
