,SMILES,hit_inh,hit_kill
42,C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)c1nc(nc(N)c1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1)C(=O)NCCc1nc(cs1)-c1nc(cs1)C(=O)NCCCNCCCCN,1,1
43,NCCCC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C(c1ccccc1)c1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,1,1
44,"CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O |c:10,t:22|",1,1
45,N[Pt](N)(Cl)Cl,0,1
46,Cc1cc2nc3ccc(cc3sc2cc1N)=[N+](C)C,0,1
47,"CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)O[C@H]1C[C@H](C)CC[C@@H]1C(C)C |&1:40,&2:36,&3:34,&4:9,&5:6,&6:3|",1,1
48,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1,1
49,CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1,0,1
50,O[C@@H](CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12 |&1:1|,1,1
51,CN(C)c1ccc2nc3ccc(cc3sc2c1)=[N+](C)C,0,1
52,[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1 |c:7|,1,1
53,C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,0,1
54,"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|",0,1
55,Cc1ccc(cc1)S(=O)(=O)\C=C\C#N,1,1
56,Nc1ccc2cc3ccc(N)cc3nc2c1.C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,0,1
57,"[O-][N+](=O)c1ccc(\C=N\N2C[C@@H](CN3CCOCC3)OC2=O)o1 |&1:11,r|",1,1
58,Nc1c2ccccc2nc2ccccc12,0,1
59,Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1,0,1
60,"COC1=C(OC)C(=O)C(CCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)=C(C)C1=O |c:2,t:40|",1,1
61,CCCC[P+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N\C(NC2CCCCC2)=N\C2CCCCC2)cc1,1,1
62,CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,0,1
63,"[H][C@@]12Cc3c(F)cc(NC(=O)CN4CCCC4)c(O)c3C(=O)[C@H]1C(=O)[C@]1(O)C(=O)[C@H](C(N)=O)C(=O)[C@@H](N(C)C)[C@]1([H])C2 |&1:29,&2:22|",1,1
64,Oc1ccc(cc1O)C(=O)Nc1nc(c(s1)-c1ccccc1)-c1ccc(O)c(O)c1,1,1
65,CN(C)c1ccc2Nc3ccc(cc3Sc2c1)N(C)C,0,1
66,[O-][N+](=O)c1ccc(\C=N\N2CCOC2=O)o1,1,1
67,Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,0,1
68,COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1,0,1
