Cpd_Number,MolPort ID,SMILES,LB_OD-Rep1,LB_OD-Rep2,LB_OD-Rep3,LB_FBS_OD-Rep1,LB_FBS_OD-Rep2,LB_FBS_OD-Rep3,CFU_ml-Rep1,CFU_ml-Rep2,Name,Vendor,IUPAC name,SMILES_from_MolPort
14,MolPort-047-514-438,Cl.Cl.COC1=CC=C2NC(CNCC3=CC=C(CCN)C=C3)=CC2=C1,0.0525,0.0618,0.5059,0.7897,0.8307,0.6505,142.0,142.0,69251390,ChemBridge Corporation,2-[4-({[(5-methoxy-1H-indol-2-yl)methyl]amino}methyl)phenyl]ethan-1-amine dihydrochloride,Cl.Cl.COc1ccc2[nH]c(CNCc3ccc(CCN)cc3)cc2c1
16,MolPort-047-511-232,Cl.Cl.CN1C(CN2C[C@@H]3CCN[C@@H]3C2)=CC2=CC(C)=CC=C12,0.0457,0.0454,0.047,0.847,1.198,1.1687,142.0,142.0,99546031,ChemBridge Corporation,"2-{[(3aS,6aS)-octahydropyrrolo[3,4-b]pyrrol-5-yl]methyl}-1,5-dimethyl-1H-indole dihydrochloride",Cl.Cl.Cc1ccc2n(C)c(CN3C[C@@H]4CCN[C@@H]4C3)cc2c1
28,MolPort-015-163-751,Cl.[2H]C([2H])(NC([2H])([2H])C(O)C1CCC2=CC(F)=CC=C2O1)C(O)C1CCC2=CC(F)=CC=C2O1,0.0668,0.3188,0.0866,0.0754,0.2207,0.0564,142.0,142.0,AG00AOO3,Angene (China),"1-(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)-2-{[2-(6-fluoro-3,4-dihydro-2H-1-benzopyran-2-yl)-2-hydroxyethyl]amino}ethan-1-ol hydrochloride",Cl.OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1
30,MolPort-002-314-749,Cl.Cl.ClC1=CC=C(COC2=CC=C(CNCC3CCNCC3)C=C2)C=C1,0.0465,0.047,0.0501,0.0534,0.0533,0.0465,142.0,142.0,AN-465/43384139,Specs,({4-[(4-chlorophenyl)methoxy]phenyl}methyl)[(piperidin-4-yl)methyl]amine dihydrochloride,Cl.Cl.Clc1ccc(COc2ccc(CNCC3CCNCC3)cc2)cc1
31,MolPort-002-313-540,Clc1ccc(Cl)c(-c2ccc(CNCC3CCNCC3)o2)c1,0.0513,0.0525,0.0469,0.0484,0.0487,0.3766,142.0,142.0,AN-465/43384067,Specs,"{[5-(2,5-dichlorophenyl)furan-2-yl]methyl}[(piperidin-4-yl)methyl]amine dihydrochloride",Cl.Cl.Clc1ccc(Cl)c(c1)-c1ccc(CNCC2CCNCC2)o1
